iter	Passed	Remaining
0	0	137
1	1	142
2	2	131
3	2	124
4	3	120
5	3	121
6	4	121
7	5	122
8	5	122
9	6	122
10	7	122
11	7	122
12	8	122
13	9	121
14	9	120
15	10	119
16	11	119
17	11	118
18	12	117
19	12	116
20	13	115
21	14	114
22	14	115
23	15	115
24	16	113
25	16	111
26	17	109
27	17	108
28	18	107
29	18	106
30	19	105
31	19	104
32	20	104
33	21	103
34	21	102
35	22	101
36	22	100
37	23	99
38	23	99
39	24	98
40	25	97
41	25	97
42	26	96
43	26	95
44	27	94
45	28	93
46	28	93
47	29	92
48	29	91
49	30	90
50	30	89
51	31	89
52	32	89
53	32	89
54	33	88
55	34	88
56	35	88
57	35	87
58	36	87
59	37	87
60	38	87
61	38	86
62	39	85
63	40	85
64	40	84
65	41	84
66	42	84
67	43	83
68	43	83
69	44	82
70	44	81
71	45	80
72	46	80
73	47	80
74	47	79
75	48	78
76	49	78
77	49	77
78	50	77
79	51	76
80	51	75
81	51	74
82	52	74
83	53	73
84	53	72
85	54	72
86	55	71
87	55	71
88	56	70
89	56	69
90	57	68
91	57	67
92	58	66
93	58	66
94	59	65
95	59	64
96	60	64
97	61	63
98	62	63
99	62	62
100	63	61
101	63	61
102	64	60
103	65	60
104	65	59
105	66	58
106	66	57
107	67	57
108	67	56
109	68	55
110	68	55
111	69	54
112	69	53
113	70	53
114	70	52
115	71	51
116	71	50
117	72	50
118	72	49
119	73	48
120	73	48
121	74	47
122	74	46
123	75	45
124	75	45
125	75	44
126	76	43
127	76	43
128	77	42
129	77	41
130	78	41
131	78	40
132	78	39
133	79	39
134	79	38
135	80	37
136	80	37
137	81	36
138	81	35
139	81	35
140	82	34
141	82	33
142	83	33
143	83	32
144	84	31
145	84	31
146	85	30
147	85	30
148	85	29
149	86	28
150	86	28
151	87	27
152	87	26
153	88	26
154	88	25
155	89	25
156	89	24
157	89	23
158	90	23
159	90	22
160	91	22
161	91	21
162	92	20
163	92	20
164	92	19
165	93	19
166	93	18
167	95	18
168	96	17
169	97	17
170	97	16
171	98	16
172	99	15
173	99	14
174	100	14
175	101	13
176	101	13
177	102	12
178	102	12
179	103	11
180	103	10
181	103	10
182	104	9
183	104	9
184	105	8
185	105	7
186	106	7
187	106	6
188	107	6
189	107	5
190	108	5
191	108	4
192	109	3
193	109	3
194	110	2
195	110	2
196	111	1
197	111	1
198	111	0
199	112	0
